comp0_g1_i1	isogroup0
comp2781_g1_i1	isogroup2781
comp2781_g1_i2	isogroup2781
comp2782_g1_i1	isogroup2782
comp2782_g1_i2	isogroup2782
comp2783_g1_i1	isogroup2783
comp2784_g1_i1	isogroup2784
comp2785_g1_i1	isogroup2785
comp2786_g1_i1	isogroup2786
comp2787_g1_i1	isogroup2787
comp2787_g1_i2	isogroup2787
comp2788_g1_i1	isogroup2788
comp2789_g1_i1	isogroup2789
comp2790_g1_i1	isogroup2790
comp2791_g1_i1	isogroup2791
comp2792_g1_i1	isogroup2792
comp2793_g1_i1	isogroup2793
comp2793_g1_i2	isogroup2793
comp2794_g1_i1	isogroup2794
comp2797_g1_i1	isogroup2797
comp2798_g1_i1	isogroup2798
comp2799_g1_i1	isogroup2799
comp2800_g1_i1	isogroup2800
comp2800_g1_i2	isogroup2800
comp2801_g1_i1	isogroup2801
comp2801_g1_i2	isogroup2801
comp2802_g1_i1	isogroup2802
comp2803_g1_i1	isogroup2803
comp2803_g1_i2	isogroup2803
comp2805_g1_i1	isogroup2805
comp2805_g1_i2	isogroup2805
comp2806_g1_i1	isogroup2806
comp2807_g1_i1	isogroup2807
comp2807_g1_i2	isogroup2807
comp2808_g1_i1	isogroup2808
comp2809_g1_i1	isogroup2809
comp2809_g1_i2	isogroup2809
comp2810_g1_i1	isogroup2810
comp2810_g1_i2	isogroup2810
comp2812_g1_i1	isogroup2812
comp2812_g1_i2	isogroup2812
comp2813_g1_i1	isogroup2813
comp2814_g1_i1	isogroup2814
comp2814_g1_i2	isogroup2814
comp2815_g1_i1	isogroup2815
comp2816_g1_i1	isogroup2816
comp2816_g1_i2	isogroup2816
comp2817_g1_i1	isogroup2817
comp2819_g1_i1	isogroup2819
comp2820_g1_i1	isogroup2820
comp2821_g1_i1	isogroup2821
comp2822_g1_i1	isogroup2822
comp2822_g1_i2	isogroup2822
comp2823_g1_i1	isogroup2823
comp2823_g1_i2	isogroup2823
comp2824_g1_i1	isogroup2824
comp2825_g1_i1	isogroup2825
comp2825_g1_i2	isogroup2825
comp2826_g1_i1	isogroup2826
comp2826_g1_i2	isogroup2826
comp2827_g1_i1	isogroup2827
comp2827_g1_i2	isogroup2827
comp2828_g1_i1	isogroup2828
comp2828_g1_i2	isogroup2828
comp2829_g1_i1	isogroup2829
comp2829_g1_i2	isogroup2829
comp2830_g1_i1	isogroup2830
comp2830_g1_i2	isogroup2830
comp2831_g1_i1	isogroup2831
comp2831_g1_i2	isogroup2831
comp2832_g1_i1	isogroup2832
comp2833_g1_i1	isogroup2833
comp2833_g1_i2	isogroup2833
comp2834_g1_i1	isogroup2834
comp2835_g1_i1	isogroup2835
comp2835_g1_i2	isogroup2835
comp2836_g1_i1	isogroup2836
comp2836_g1_i2	isogroup2836
comp2837_g1_i1	isogroup2837
comp2837_g1_i2	isogroup2837
comp2838_g1_i1	isogroup2838
comp2838_g1_i2	isogroup2838
comp2839_g1_i1	isogroup2839
comp2840_g1_i1	isogroup2840
comp2840_g1_i2	isogroup2840
comp2841_g1_i1	isogroup2841
comp2841_g1_i2	isogroup2841
comp2842_g1_i1	isogroup2842
comp2842_g1_i2	isogroup2842
comp2843_g1_i1	isogroup2843
comp2843_g1_i2	isogroup2843
comp2844_g1_i1	isogroup2844
comp2845_g1_i1	isogroup2845
comp2846_g1_i1	isogroup2846
comp2846_g1_i2	isogroup2846
comp2847_g1_i1	isogroup2847
comp2848_g1_i1	isogroup2848
comp2849_g1_i1	isogroup2849
comp2850_g1_i1	isogroup2850
comp2850_g1_i2	isogroup2850
comp2851_g1_i1	isogroup2851
comp2852_g1_i1	isogroup2852
comp2852_g1_i2	isogroup2852
comp2853_g1_i1	isogroup2853
comp2853_g1_i2	isogroup2853
comp2854_g1_i1	isogroup2854
comp2855_g1_i1	isogroup2855
comp2855_g1_i2	isogroup2855
comp2856_g1_i1	isogroup2856
comp2856_g1_i2	isogroup2856
comp2857_g1_i1	isogroup2857
comp2858_g1_i1	isogroup2858
comp2858_g1_i2	isogroup2858
comp2859_g1_i1	isogroup2859
comp2859_g1_i2	isogroup2859
comp2860_g1_i1	isogroup2860
comp2860_g1_i2	isogroup2860
comp2861_g1_i1	isogroup2861
comp2861_g1_i2	isogroup2861
comp2862_g1_i1	isogroup2862
comp2863_g1_i1	isogroup2863
comp2864_g1_i1	isogroup2864
comp2865_g1_i1	isogroup2865
comp2866_g1_i1	isogroup2866
comp2866_g1_i2	isogroup2866
comp2867_g1_i1	isogroup2867
comp2867_g1_i2	isogroup2867
comp2868_g1_i1	isogroup2868
comp2869_g1_i1	isogroup2869
comp2869_g1_i2	isogroup2869
comp2870_g1_i1	isogroup2870
comp2871_g1_i1	isogroup2871
comp2872_g1_i1	isogroup2872
comp2872_g1_i2	isogroup2872
comp2873_g1_i1	isogroup2873
comp2874_g1_i1	isogroup2874
comp2875_g1_i1	isogroup2875
comp2876_g1_i1	isogroup2876
comp2877_g1_i1	isogroup2877
comp2878_g1_i1	isogroup2878
comp2879_g1_i1	isogroup2879
comp2879_g1_i2	isogroup2879
comp2880_g1_i1	isogroup2880
comp2880_g1_i2	isogroup2880
comp2881_g1_i1	isogroup2881
comp2882_g1_i1	isogroup2882
comp2883_g1_i1	isogroup2883
comp2883_g1_i2	isogroup2883
comp2884_g1_i1	isogroup2884
comp2885_g1_i1	isogroup2885
comp2886_g1_i1	isogroup2886
comp2886_g1_i2	isogroup2886
comp2887_g1_i1	isogroup2887
comp2888_g1_i1	isogroup2888
comp2889_g1_i1	isogroup2889
comp2890_g1_i1	isogroup2890
comp2891_g1_i1	isogroup2891
comp2892_g1_i1	isogroup2892
comp2893_g1_i1	isogroup2893
comp2894_g1_i1	isogroup2894
comp2894_g1_i2	isogroup2894
comp2895_g1_i1	isogroup2895
comp2895_g1_i2	isogroup2895
comp2896_g1_i1	isogroup2896
comp2896_g1_i2	isogroup2896
comp2897_g1_i1	isogroup2897
comp2897_g1_i2	isogroup2897
comp2898_g1_i1	isogroup2898
comp2898_g1_i2	isogroup2898
comp2899_g1_i1	isogroup2899
comp2900_g1_i1	isogroup2900
comp2900_g1_i2	isogroup2900
comp2901_g1_i1	isogroup2901
comp2902_g1_i1	isogroup2902
comp2903_g1_i1	isogroup2903
comp2904_g1_i1	isogroup2904
comp2905_g1_i1	isogroup2905
comp2905_g1_i2	isogroup2905
comp2906_g1_i1	isogroup2906
comp2906_g1_i2	isogroup2906
comp2908_g1_i1	isogroup2908
comp2909_g1_i1	isogroup2909
comp2910_g1_i1	isogroup2910
comp2911_g1_i1	isogroup2911
comp2912_g1_i1	isogroup2912
comp2913_g1_i1	isogroup2913
comp2913_g1_i2	isogroup2913
comp2914_g1_i1	isogroup2914
comp2915_g1_i1	isogroup2915
comp2915_g1_i2	isogroup2915
comp2916_g1_i1	isogroup2916
comp2916_g1_i2	isogroup2916
comp2917_g1_i1	isogroup2917
comp2918_g1_i1	isogroup2918
comp2919_g1_i1	isogroup2919
comp2920_g1_i1	isogroup2920
comp2921_g1_i1	isogroup2921
comp2921_g1_i2	isogroup2921
comp2922_g1_i1	isogroup2922
comp2922_g1_i2	isogroup2922
comp2923_g1_i1	isogroup2923
comp2924_g1_i1	isogroup2924
comp2925_g1_i1	isogroup2925
comp2926_g1_i1	isogroup2926
comp2926_g1_i2	isogroup2926
comp2927_g1_i1	isogroup2927
comp2927_g2_i1	isogroup2927
comp2928_g1_i1	isogroup2928
comp2929_g1_i1	isogroup2929
comp2930_g1_i1	isogroup2930
comp2930_g1_i2	isogroup2930
comp2931_g1_i1	isogroup2931
comp2932_g1_i1	isogroup2932
comp2933_g1_i1	isogroup2933
comp2933_g1_i2	isogroup2933
comp2934_g1_i1	isogroup2934
comp2934_g1_i2	isogroup2934
comp2935_g1_i1	isogroup2935
comp2936_g1_i1	isogroup2936
comp2936_g1_i2	isogroup2936
comp2937_g1_i1	isogroup2937
comp2937_g1_i2	isogroup2937
comp2938_g1_i1	isogroup2938
comp2939_g1_i1	isogroup2939
comp2940_g1_i1	isogroup2940
comp2940_g1_i2	isogroup2940
comp2941_g1_i1	isogroup2941
comp2941_g1_i2	isogroup2941
comp2942_g1_i1	isogroup2942
comp2942_g1_i2	isogroup2942
comp2943_g1_i1	isogroup2943
comp2943_g1_i2	isogroup2943
comp2944_g1_i1	isogroup2944
comp2945_g1_i1	isogroup2945
comp2945_g1_i2	isogroup2945
comp2946_g1_i1	isogroup2946
comp2947_g1_i1	isogroup2947
comp2948_g1_i1	isogroup2948
comp2949_g1_i1	isogroup2949
comp2950_g1_i1	isogroup2950
comp2950_g1_i2	isogroup2950
comp2951_g1_i1	isogroup2951
comp2951_g1_i2	isogroup2951
comp2952_g1_i1	isogroup2952
comp2953_g1_i1	isogroup2953
comp2953_g1_i2	isogroup2953
comp2954_g1_i1	isogroup2954
comp2955_g1_i1	isogroup2955
comp2955_g1_i2	isogroup2955
comp2956_g1_i1	isogroup2956
comp2957_g1_i1	isogroup2957
comp2957_g1_i2	isogroup2957
comp2958_g1_i1	isogroup2958
comp2958_g1_i2	isogroup2958
comp2959_g1_i1	isogroup2959
comp2960_g1_i1	isogroup2960
comp2961_g1_i1	isogroup2961
comp2961_g1_i2	isogroup2961
comp2962_g1_i1	isogroup2962
comp2963_g1_i1	isogroup2963
comp2964_g1_i1	isogroup2964
comp2964_g2_i1	isogroup2964
comp2965_g1_i1	isogroup2965
comp2965_g1_i2	isogroup2965
comp2966_g1_i1	isogroup2966
comp2967_g1_i1	isogroup2967
comp2968_g1_i1	isogroup2968
comp2968_g1_i2	isogroup2968
comp2969_g1_i1	isogroup2969
comp2970_g1_i1	isogroup2970
comp2971_g1_i1	isogroup2971
comp2972_g1_i1	isogroup2972
comp2972_g1_i2	isogroup2972
comp2973_g1_i1	isogroup2973
comp2974_g1_i1	isogroup2974
comp2975_g1_i1	isogroup2975
comp2976_g1_i1	isogroup2976
comp2976_g1_i2	isogroup2976
comp2977_g1_i1	isogroup2977
comp2977_g1_i2	isogroup2977
comp2978_g1_i1	isogroup2978
comp2978_g1_i2	isogroup2978
comp2979_g1_i1	isogroup2979
comp2979_g1_i2	isogroup2979
comp2980_g1_i1	isogroup2980
comp2980_g1_i2	isogroup2980
comp2981_g1_i1	isogroup2981
comp2981_g1_i2	isogroup2981
comp2982_g1_i1	isogroup2982
comp2983_g1_i1	isogroup2983
comp2984_g1_i1	isogroup2984
comp2984_g1_i2	isogroup2984
comp2985_g1_i1	isogroup2985
comp2985_g1_i2	isogroup2985
comp2986_g1_i1	isogroup2986
comp2986_g1_i2	isogroup2986
comp2987_g1_i1	isogroup2987
comp2987_g1_i2	isogroup2987
comp2988_g1_i1	isogroup2988
comp2988_g1_i2	isogroup2988
comp2989_g1_i1	isogroup2989
comp2990_g1_i1	isogroup2990
comp2991_g1_i1	isogroup2991
comp2992_g1_i1	isogroup2992
comp2992_g1_i2	isogroup2992
comp2993_g1_i1	isogroup2993
comp2994_g1_i1	isogroup2994
comp2994_g1_i2	isogroup2994
comp2995_g1_i1	isogroup2995
comp2995_g2_i1	isogroup2995
comp2996_g1_i1	isogroup2996
comp2996_g1_i2	isogroup2996
comp2997_g1_i1	isogroup2997
comp2999_g1_i1	isogroup2999
comp2999_g1_i2	isogroup2999
comp3000_g1_i1	isogroup3000
comp3000_g1_i2	isogroup3000
comp3001_g1_i1	isogroup3001
comp3002_g1_i1	isogroup3002
comp3002_g1_i2	isogroup3002
comp3003_g1_i1	isogroup3003
comp3004_g1_i1	isogroup3004
comp3005_g1_i1	isogroup3005
comp3005_g1_i2	isogroup3005
comp3006_g1_i1	isogroup3006
comp3007_g1_i1	isogroup3007
comp3007_g1_i2	isogroup3007
comp3008_g1_i1	isogroup3008
comp3008_g1_i2	isogroup3008
comp3009_g1_i1	isogroup3009
comp3009_g1_i2	isogroup3009
comp3010_g1_i1	isogroup3010
comp3011_g1_i1	isogroup3011
comp3012_g1_i1	isogroup3012
comp3013_g1_i1	isogroup3013
comp3014_g1_i1	isogroup3014
comp3015_g1_i1	isogroup3015
comp3016_g1_i1	isogroup3016
comp3016_g1_i2	isogroup3016
comp3017_g1_i1	isogroup3017
comp3017_g1_i2	isogroup3017
comp3018_g1_i1	isogroup3018
comp3018_g2_i1	isogroup3018
comp3019_g1_i1	isogroup3019
comp3020_g1_i1	isogroup3020
comp3020_g1_i2	isogroup3020
comp3021_g1_i1	isogroup3021
comp3022_g1_i1	isogroup3022
comp3023_g1_i1	isogroup3023
comp3024_g1_i1	isogroup3024
comp3024_g1_i2	isogroup3024
comp3025_g1_i1	isogroup3025
comp3026_g1_i1	isogroup3026
comp3026_g1_i2	isogroup3026
comp3027_g1_i1	isogroup3027
comp3027_g1_i2	isogroup3027
comp3028_g1_i1	isogroup3028
comp3029_g1_i1	isogroup3029
comp3030_g1_i1	isogroup3030
comp3031_g1_i1	isogroup3031
comp3031_g1_i2	isogroup3031
comp3032_g1_i1	isogroup3032
comp3033_g1_i1	isogroup3033
comp3033_g1_i2	isogroup3033
comp3034_g1_i1	isogroup3034
comp3035_g1_i1	isogroup3035
comp3036_g1_i1	isogroup3036
comp3036_g1_i2	isogroup3036
comp3037_g1_i1	isogroup3037
comp3037_g1_i2	isogroup3037
comp3038_g1_i1	isogroup3038
comp3038_g1_i2	isogroup3038
comp3039_g1_i1	isogroup3039
comp3040_g1_i1	isogroup3040
comp3040_g2_i1	isogroup3040
comp3041_g1_i1	isogroup3041
comp3041_g1_i2	isogroup3041
comp3042_g1_i1	isogroup3042
comp3043_g1_i1	isogroup3043
comp3043_g1_i2	isogroup3043
comp3044_g1_i1	isogroup3044
comp3045_g1_i1	isogroup3045
comp3046_g1_i1	isogroup3046
comp3046_g1_i2	isogroup3046
comp3047_g1_i1	isogroup3047
comp3048_g1_i1	isogroup3048
comp3049_g1_i1	isogroup3049
comp3050_g1_i1	isogroup3050
comp3050_g1_i2	isogroup3050
comp3051_g1_i1	isogroup3051
comp3053_g1_i1	isogroup3053
comp3054_g1_i1	isogroup3054
comp3055_g1_i1	isogroup3055
comp3056_g1_i1	isogroup3056
comp3057_g1_i1	isogroup3057
comp3058_g1_i1	isogroup3058
comp3058_g1_i2	isogroup3058
comp3059_g1_i1	isogroup3059
comp3059_g2_i1	isogroup3059
comp3060_g1_i1	isogroup3060
comp3061_g1_i1	isogroup3061
comp3061_g1_i2	isogroup3061
comp3062_g1_i1	isogroup3062
comp3063_g1_i1	isogroup3063
comp3063_g1_i2	isogroup3063
comp3064_g1_i1	isogroup3064
comp3065_g1_i1	isogroup3065
comp3065_g1_i2	isogroup3065
comp3066_g1_i1	isogroup3066
comp3067_g1_i1	isogroup3067
comp3068_g1_i1	isogroup3068
comp3068_g2_i1	isogroup3068
comp3069_g1_i1	isogroup3069
comp3070_g1_i1	isogroup3070
comp3071_g1_i1	isogroup3071
comp3072_g1_i1	isogroup3072
comp3073_g1_i1	isogroup3073
comp3074_g1_i1	isogroup3074
comp3074_g1_i2	isogroup3074
comp3075_g1_i1	isogroup3075
comp3076_g1_i1	isogroup3076
comp3077_g1_i1	isogroup3077
comp3078_g1_i1	isogroup3078
comp3078_g1_i2	isogroup3078
comp3079_g1_i1	isogroup3079
comp3080_g1_i1	isogroup3080
comp3080_g1_i2	isogroup3080
comp3081_g1_i1	isogroup3081
comp3081_g2_i1	isogroup3081
comp3082_g1_i1	isogroup3082
comp3083_g1_i1	isogroup3083
comp3084_g1_i1	isogroup3084
comp3084_g1_i2	isogroup3084
comp3085_g1_i1	isogroup3085
comp3085_g1_i2	isogroup3085
comp3086_g1_i1	isogroup3086
comp3086_g1_i2	isogroup3086
comp3087_g1_i1	isogroup3087
comp3087_g1_i2	isogroup3087
comp3088_g1_i1	isogroup3088
comp3089_g1_i1	isogroup3089
comp3089_g1_i2	isogroup3089
comp3090_g1_i1	isogroup3090
comp3091_g1_i1	isogroup3091
comp3091_g1_i2	isogroup3091
comp3092_g1_i1	isogroup3092
comp3093_g1_i1	isogroup3093
comp3093_g1_i2	isogroup3093
comp3094_g1_i1	isogroup3094
comp3095_g1_i1	isogroup3095
comp3096_g1_i1	isogroup3096
comp3097_g1_i1	isogroup3097
comp3097_g1_i2	isogroup3097
comp3098_g1_i1	isogroup3098
comp3099_g1_i1	isogroup3099
comp3099_g1_i2	isogroup3099
comp3100_g1_i1	isogroup3100
comp3100_g1_i2	isogroup3100
comp3101_g1_i1	isogroup3101
comp3101_g1_i2	isogroup3101
comp3102_g1_i1	isogroup3102
comp3103_g1_i1	isogroup3103
comp3104_g1_i1	isogroup3104
comp3105_g1_i1	isogroup3105
comp3106_g1_i1	isogroup3106
comp3106_g1_i2	isogroup3106
comp3107_g1_i1	isogroup3107
comp3107_g1_i2	isogroup3107
comp3108_g1_i1	isogroup3108
comp3109_g1_i1	isogroup3109
comp3109_g1_i2	isogroup3109
comp3110_g1_i1	isogroup3110
comp3111_g1_i1	isogroup3111
comp3111_g1_i2	isogroup3111
comp3112_g1_i1	isogroup3112
comp3112_g1_i2	isogroup3112
comp3113_g1_i1	isogroup3113
comp3114_g1_i1	isogroup3114
comp3115_g1_i1	isogroup3115
comp3116_g1_i1	isogroup3116
comp3117_g1_i1	isogroup3117
comp3117_g1_i2	isogroup3117
comp3118_g1_i1	isogroup3118
comp3119_g1_i1	isogroup3119
comp3119_g1_i2	isogroup3119
comp3120_g1_i1	isogroup3120
comp3121_g1_i1	isogroup3121
comp3123_g1_i1	isogroup3123
comp3123_g1_i2	isogroup3123
comp3124_g1_i1	isogroup3124
comp3125_g1_i1	isogroup3125
comp3125_g1_i2	isogroup3125
comp3126_g1_i1	isogroup3126
comp3126_g2_i1	isogroup3126
comp3127_g1_i1	isogroup3127
comp3127_g1_i2	isogroup3127
comp3128_g1_i1	isogroup3128
comp3129_g1_i1	isogroup3129
comp3130_g1_i1	isogroup3130
comp3131_g1_i1	isogroup3131
comp3132_g1_i1	isogroup3132
comp3132_g1_i2	isogroup3132
comp3133_g1_i1	isogroup3133
comp3133_g1_i2	isogroup3133
comp3134_g1_i1	isogroup3134
comp3135_g1_i1	isogroup3135
comp3136_g1_i1	isogroup3136
comp3137_g1_i1	isogroup3137
comp3137_g1_i2	isogroup3137
comp3138_g1_i1	isogroup3138
comp3139_g1_i1	isogroup3139
comp3140_g1_i1	isogroup3140
comp3141_g1_i1	isogroup3141
comp3141_g1_i2	isogroup3141
comp3142_g1_i1	isogroup3142
comp3143_g1_i1	isogroup3143
comp3145_g1_i1	isogroup3145
comp3146_g1_i1	isogroup3146
comp3146_g1_i2	isogroup3146
comp3147_g1_i1	isogroup3147
comp3147_g1_i2	isogroup3147
comp3148_g1_i1	isogroup3148
comp3149_g1_i1	isogroup3149
comp3150_g1_i1	isogroup3150
comp3151_g1_i1	isogroup3151
comp3151_g1_i2	isogroup3151
comp3152_g1_i1	isogroup3152
comp3153_g1_i1	isogroup3153
comp3153_g1_i2	isogroup3153
comp3154_g1_i1	isogroup3154
comp3155_g1_i1	isogroup3155
comp3156_g1_i1	isogroup3156
comp3157_g1_i1	isogroup3157
comp3158_g1_i1	isogroup3158
comp3158_g1_i2	isogroup3158
comp3159_g1_i1	isogroup3159
comp3160_g1_i1	isogroup3160
comp3160_g1_i2	isogroup3160
comp3161_g1_i1	isogroup3161
comp3162_g1_i1	isogroup3162
comp3163_g1_i1	isogroup3163
comp3164_g1_i1	isogroup3164
comp3164_g1_i2	isogroup3164
comp3165_g1_i1	isogroup3165
comp3166_g1_i1	isogroup3166
comp3167_g1_i1	isogroup3167
comp3168_g1_i1	isogroup3168
comp3168_g1_i2	isogroup3168
comp3170_g1_i1	isogroup3170
comp3171_g1_i1	isogroup3171
comp3172_g1_i1	isogroup3172
comp3173_g1_i1	isogroup3173
comp3174_g1_i1	isogroup3174
comp3174_g1_i2	isogroup3174
comp3175_g1_i1	isogroup3175
comp3176_g1_i1	isogroup3176
comp3176_g1_i2	isogroup3176
comp3177_g1_i1	isogroup3177
comp3178_g1_i1	isogroup3178
comp3178_g1_i2	isogroup3178
comp3179_g1_i1	isogroup3179
comp3179_g1_i2	isogroup3179
comp3180_g1_i1	isogroup3180
comp3181_g1_i1	isogroup3181
comp3181_g1_i2	isogroup3181
comp3182_g1_i1	isogroup3182
comp3183_g1_i1	isogroup3183
comp3183_g1_i2	isogroup3183
comp3184_g1_i1	isogroup3184
comp3185_g1_i1	isogroup3185
comp3185_g1_i2	isogroup3185
comp3186_g1_i1	isogroup3186
comp3187_g1_i1	isogroup3187
comp3188_g1_i1	isogroup3188
comp3188_g1_i2	isogroup3188
comp3189_g1_i1	isogroup3189
comp3190_g1_i1	isogroup3190
comp3190_g1_i2	isogroup3190
comp3191_g1_i1	isogroup3191
comp3191_g1_i2	isogroup3191
comp3192_g1_i1	isogroup3192
comp3192_g1_i2	isogroup3192
comp3193_g1_i1	isogroup3193
comp3193_g1_i2	isogroup3193
comp3194_g1_i1	isogroup3194
comp3195_g1_i1	isogroup3195
comp3195_g1_i2	isogroup3195
comp3196_g1_i1	isogroup3196
comp3197_g1_i1	isogroup3197
comp3197_g1_i2	isogroup3197
comp3198_g1_i1	isogroup3198
comp3199_g1_i1	isogroup3199
comp3199_g1_i2	isogroup3199
comp3200_g1_i1	isogroup3200
comp3201_g1_i1	isogroup3201
comp3202_g1_i1	isogroup3202
comp3203_g1_i1	isogroup3203
comp3204_g1_i1	isogroup3204
comp3205_g1_i1	isogroup3205
comp3205_g1_i2	isogroup3205
comp3207_g1_i1	isogroup3207
comp3207_g1_i2	isogroup3207
comp3208_g1_i1	isogroup3208
comp3208_g1_i2	isogroup3208
comp3209_g1_i1	isogroup3209
comp3210_g1_i1	isogroup3210
comp3210_g1_i2	isogroup3210
comp3211_g1_i1	isogroup3211
comp3211_g1_i2	isogroup3211
comp3212_g1_i1	isogroup3212
comp3212_g1_i2	isogroup3212
comp3213_g1_i1	isogroup3213
comp3214_g1_i1	isogroup3214
comp3215_g1_i1	isogroup3215
comp3215_g1_i2	isogroup3215
comp3216_g1_i1	isogroup3216
comp3216_g1_i2	isogroup3216
comp3217_g1_i1	isogroup3217
comp3217_g1_i2	isogroup3217
comp3218_g1_i1	isogroup3218
comp3218_g1_i2	isogroup3218
comp3219_g1_i1	isogroup3219
comp3219_g1_i2	isogroup3219
comp3220_g1_i1	isogroup3220
comp3221_g1_i1	isogroup3221
comp3222_g1_i1	isogroup3222
comp3223_g1_i1	isogroup3223
comp3223_g1_i2	isogroup3223
comp3224_g1_i1	isogroup3224
comp3225_g1_i1	isogroup3225
comp3225_g1_i2	isogroup3225
comp3227_g1_i1	isogroup3227
comp3228_g1_i1	isogroup3228
comp3228_g2_i1	isogroup3228
comp3229_g1_i1	isogroup3229
comp3230_g1_i1	isogroup3230
comp3230_g1_i2	isogroup3230
comp3231_g1_i1	isogroup3231
comp3231_g1_i2	isogroup3231
comp3232_g1_i1	isogroup3232
comp3232_g1_i2	isogroup3232
comp3233_g1_i1	isogroup3233
comp3233_g2_i1	isogroup3233
comp3234_g1_i1	isogroup3234
comp3235_g1_i1	isogroup3235
comp3236_g1_i1	isogroup3236
comp3236_g1_i2	isogroup3236
comp3237_g1_i1	isogroup3237
comp3237_g1_i2	isogroup3237
comp3238_g1_i1	isogroup3238
comp3239_g1_i1	isogroup3239
comp3239_g1_i2	isogroup3239
comp3240_g1_i1	isogroup3240
comp3241_g1_i1	isogroup3241
comp3242_g1_i1	isogroup3242
comp3242_g2_i1	isogroup3242
comp3243_g1_i1	isogroup3243
comp3243_g1_i2	isogroup3243
comp3244_g1_i1	isogroup3244
comp3245_g1_i1	isogroup3245
comp3246_g1_i1	isogroup3246
comp3246_g1_i2	isogroup3246
comp3247_g1_i1	isogroup3247
comp3247_g1_i2	isogroup3247
comp3248_g1_i1	isogroup3248
comp3249_g1_i1	isogroup3249
comp3249_g1_i2	isogroup3249
comp3250_g1_i1	isogroup3250
comp3250_g1_i2	isogroup3250
comp3251_g1_i1	isogroup3251
comp3251_g1_i2	isogroup3251
comp3252_g1_i1	isogroup3252
comp3253_g1_i1	isogroup3253
comp3254_g1_i1	isogroup3254
comp3254_g1_i2	isogroup3254
comp3255_g1_i1	isogroup3255
comp3255_g1_i2	isogroup3255
comp3256_g1_i1	isogroup3256
comp3257_g1_i1	isogroup3257
comp3258_g1_i1	isogroup3258
comp3258_g1_i2	isogroup3258
comp3259_g1_i1	isogroup3259
comp3259_g1_i2	isogroup3259
comp3260_g1_i1	isogroup3260
comp3260_g1_i2	isogroup3260
comp3261_g1_i1	isogroup3261
comp3262_g1_i1	isogroup3262
comp3262_g1_i2	isogroup3262
comp3263_g1_i1	isogroup3263
comp3264_g1_i1	isogroup3264
comp3265_g1_i1	isogroup3265
comp3265_g1_i2	isogroup3265
comp3266_g1_i1	isogroup3266
comp3267_g1_i1	isogroup3267
comp3268_g1_i1	isogroup3268
comp3268_g1_i2	isogroup3268
comp3269_g1_i1	isogroup3269
comp3269_g1_i2	isogroup3269
comp3270_g1_i1	isogroup3270
comp3271_g1_i1	isogroup3271
comp3271_g1_i2	isogroup3271
comp3272_g1_i1	isogroup3272
comp3272_g1_i2	isogroup3272
comp3273_g1_i1	isogroup3273
comp3273_g1_i2	isogroup3273
comp3274_g1_i1	isogroup3274
comp3274_g1_i2	isogroup3274
comp3275_g1_i1	isogroup3275
comp3275_g1_i2	isogroup3275
comp3276_g1_i1	isogroup3276
comp3276_g1_i2	isogroup3276
comp3277_g1_i1	isogroup3277
comp3278_g1_i1	isogroup3278
comp3278_g1_i2	isogroup3278
comp3279_g1_i1	isogroup3279
comp3280_g1_i1	isogroup3280
comp3281_g1_i1	isogroup3281
comp3281_g1_i2	isogroup3281
comp3282_g1_i1	isogroup3282
comp3283_g1_i1	isogroup3283
comp3283_g1_i2	isogroup3283
comp3284_g1_i1	isogroup3284
comp3284_g1_i2	isogroup3284
comp3285_g1_i1	isogroup3285
comp3285_g1_i2	isogroup3285
comp3286_g1_i1	isogroup3286
comp3286_g1_i2	isogroup3286
comp3288_g1_i1	isogroup3288
comp3288_g1_i2	isogroup3288
comp3289_g1_i1	isogroup3289
comp3289_g1_i2	isogroup3289
comp3290_g1_i1	isogroup3290
comp3290_g1_i2	isogroup3290
comp3291_g1_i1	isogroup3291
comp3291_g1_i2	isogroup3291
comp3292_g1_i1	isogroup3292
comp3293_g1_i1	isogroup3293
comp3293_g1_i2	isogroup3293
comp3294_g1_i1	isogroup3294
comp3294_g1_i2	isogroup3294
comp3295_g1_i1	isogroup3295
comp3296_g1_i1	isogroup3296
comp3297_g1_i1	isogroup3297
comp3298_g1_i1	isogroup3298
comp3299_g1_i1	isogroup3299
comp3300_g1_i1	isogroup3300
comp3300_g1_i2	isogroup3300
comp3301_g1_i1	isogroup3301
comp3302_g1_i1	isogroup3302
comp3303_g1_i1	isogroup3303
comp3304_g1_i1	isogroup3304
comp3305_g1_i1	isogroup3305
comp3305_g1_i2	isogroup3305
comp3306_g1_i1	isogroup3306
comp3306_g1_i2	isogroup3306
comp3307_g1_i1	isogroup3307
comp3307_g1_i2	isogroup3307
comp3308_g1_i1	isogroup3308
comp3308_g1_i2	isogroup3308
comp3309_g1_i1	isogroup3309
comp3310_g1_i1	isogroup3310
comp3311_g1_i1	isogroup3311
comp3311_g1_i2	isogroup3311
comp3312_g1_i1	isogroup3312
comp3313_g1_i1	isogroup3313
comp3313_g1_i2	isogroup3313
comp3314_g1_i1	isogroup3314
comp3314_g1_i2	isogroup3314
comp3315_g1_i1	isogroup3315
comp3316_g1_i1	isogroup3316
comp3316_g1_i2	isogroup3316
comp3317_g1_i1	isogroup3317
comp3318_g1_i1	isogroup3318
comp3318_g1_i2	isogroup3318
comp3319_g1_i1	isogroup3319
comp3319_g1_i2	isogroup3319
comp3320_g1_i1	isogroup3320
